date,value,classification,total_pnl,avg_pnl_per_trade,trade_count
2024-10-30,77,Extreme Greed,9.150023,0.36600091999999995,25
2024-10-31,77,Extreme Greed,1214.043811,25.292579395833332,48
2024-11-01,75,Extreme Greed,1040.475736,45.238075478260875,23
2024-11-02,72,Greed,0.0,0.0,2
2024-11-03,74,Greed,0.0,0.0,6
2024-11-04,70,Greed,2799.410474,77.76140205555555,36
2024-11-05,70,Greed,678.4759280000001,67.8475928,10
2024-11-06,70,Greed,2817.83723,187.85581533333334,15
2024-11-07,77,Extreme Greed,4493.353136,39.764187044247784,113
2024-11-08,75,Extreme Greed,-64.41354100000007,-1.6516292564102582,39
2024-11-09,75,Extreme Greed,102.90894,1.196615581395349,86
2024-11-10,78,Extreme Greed,991.114334,5.728984589595376,173
2024-11-11,76,Extreme Greed,6749.630996,18.09552545844504,373
2024-11-12,80,Extreme Greed,3494.399394,20.435084175438597,171
2024-11-13,84,Extreme Greed,7846.402274,163.46671404166668,48
2024-11-14,88,Extreme Greed,4563.509225,41.4864475,110
2024-11-15,80,Extreme Greed,4140.740438,27.790204281879195,149
2024-11-16,86,Extreme Greed,2769.521909,17.640266936305732,157
2024-11-17,90,Extreme Greed,882.975285,4.224762129186603,209
2024-11-18,83,Extreme Greed,4470.815187,12.921431176300578,346
2024-11-19,90,Extreme Greed,2958.268991,9.699242593442623,305
2024-11-20,83,Extreme Greed,4210.0928969999995,7.654714358181818,550
2024-11-21,82,Extreme Greed,1692.430891,3.1634222261682243,535
2024-11-22,94,Extreme Greed,-18105.345617,-26.664721085419732,679
2024-11-23,93,Extreme Greed,2901.531638,7.993200104683195,363
2024-11-24,80,Extreme Greed,945.550386,5.497385965116279,172
2024-11-25,82,Extreme Greed,5523.740734,21.66172836862745,255
2024-11-26,79,Extreme Greed,1094.809359,3.6251965529801327,302
2024-11-27,75,Extreme Greed,-2654.495633,-12.462420812206572,213
2024-11-28,77,Extreme Greed,-127075.39958499999,-382.75722766566264,332
2024-11-29,78,Extreme Greed,176844.994152,449.98726247328244,393
2024-11-30,84,Extreme Greed,37316.69352,100.04475474530831,373
2024-12-01,81,Extreme Greed,40886.364494,98.28453003365385,416
2024-12-02,80,Extreme Greed,18489.604313,68.48001597407408,270
2024-12-03,76,Extreme Greed,23576.539285,63.03887509358289,374
2024-12-04,78,Extreme Greed,292891.815021,918.1561599404388,319
2024-12-05,84,Extreme Greed,71574.11848800001,156.96078615789474,456
2024-12-06,72,Greed,-92624.643895,-229.83782604218362,403
2024-12-07,75,Extreme Greed,85906.279067,282.5864442993421,304
2024-12-08,79,Extreme Greed,15965.933436,38.014127228571425,420
2024-12-09,78,Extreme Greed,6310.967676,11.708659881261596,539
2024-12-10,78,Extreme Greed,39325.770231,24.640206911654136,1596
2024-12-11,74,Greed,319051.554217,261.30348420720725,1221
2024-12-12,83,Extreme Greed,599151.795008,310.1199767122153,1932
2024-12-13,76,Extreme Greed,31935.901745,27.22583268968457,1173
2024-12-14,83,Extreme Greed,167801.399244,135.87157833522267,1235
2024-12-15,80,Extreme Greed,97525.315279,57.4692488385386,1697
2024-12-16,83,Extreme Greed,166774.344133,158.07994704549765,1055
2024-12-17,87,Extreme Greed,219591.305172,113.13307839876352,1941
2024-12-18,81,Extreme Greed,13682.994673,9.575223703988803,1429
2024-12-19,75,Extreme Greed,62744.004486000005,18.79125621024259,3339
2024-12-20,74,Greed,254969.660039,102.47976689670418,2488
2024-12-21,73,Greed,150022.163157,89.24578415050566,1681
2024-12-22,73,Greed,352197.163973,455.03509557235145,774
2024-12-23,70,Greed,-29430.626577,-12.53967898466127,2347
2024-12-24,73,Greed,14813.780116,43.827751822485205,338
2024-12-25,73,Greed,756.6570469999998,3.637774264423076,208
2024-12-26,79,Extreme Greed,60228.639722,86.41124780774749,697
2024-12-27,74,Greed,2672.811035,10.280042442307693,260
2024-12-28,72,Greed,940.673623,5.842693310559007,161
2024-12-29,73,Greed,2884.067927,14.348596651741294,201
2024-12-30,65,Greed,9009.738137,29.637296503289473,304
2024-12-31,64,Greed,5445.01281,17.794159509803922,306
2025-01-01,66,Greed,-9528.065345,-99.25068067708334,96
2025-01-02,70,Greed,8716.519087,24.145482235457067,361
2025-01-03,74,Greed,6028.486793,11.867099986220472,508
2025-01-04,73,Greed,2553.537968,6.882851665768194,371
2025-01-05,72,Greed,3187.719363,13.337737920502093,239
2025-01-06,76,Extreme Greed,6064.185393,10.583220581151831,573
2025-01-07,78,Extreme Greed,16098.227531,25.271942748822607,637
2025-01-08,70,Greed,130117.090554,125.23300342059672,1039
2025-01-09,69,Greed,46975.928902,89.99220096168582,522
2025-01-10,50,Neutral,-10116.875552,-12.352717401709402,819
2025-01-11,69,Greed,2269.080536,8.017952424028268,283
2025-01-12,62,Greed,5742.241803,9.538607646179402,602
2025-01-13,61,Greed,9655.429352,23.66526801960784,408
